text,emotion
"Kendi hesabına biraz araştırma yapmış olan Nikobo, Tandy'nin hızlı hareketinden ve asmaların devasa düşmanlarını nasıl yendiğinden gurur duymaya neredeyse hazırdı.",excitement
Onun önünde dizlerimin üzerine çökmek ve hayranlıkla dudaklarımı ona bastırmak istiyorum.,excitement
"Henüz genç olan damarları girişimcilik, cesaret ve onurlu şan ve şöhret sevgisiyle doludur.",excitement
"Napolyon'un teğmenlerinden biri olan coşkulu Kleber, generalini kollarında tutarak şöyle haykırdı: ""Efendim, sizin büyüklüğünüz evreninki gibidir.""",excitement
Madame de Chantelle ona hayranlık ve sevinç karışımı bir ifadeyle baktı.,excitement
Almanya'nın son sağlam savunmasının parçalanacağı ve uzun süredir kışkırttığı intikama açık bırakılacağı kıyamet gününün arifesi harika ve dehşet vericiydi.,excitement
"diye haykırdı Jack, modern makinenin muazzam boyutundan, harika uçak genişliğinden ve içinde çok sayıda deponun yanı sıra fazla benzinin de saklanabileceği devasa gövdesinden neredeyse hayranlık duyarak.",excitement
"Dağ zirveleri her zaman çekici ve ilginç yerlerdir; keskin, seyrek hava, zirvelerin özgürlüğü ve açıklığı bizi neşeyle doldurur.",excitement
"Ama buraya, bir yuva kuşu gibi, buraya gelmiş olmamızın ne kadar muhteşem olduğunu bir düşünün!",excitement
Üretiminizin cömertliğine hayret ediyorum ve dehanızın bu yüksek meridyenine seviniyorum.,excitement
"Seni gördüğüm an o kadar memnun oldum ki, o kadar ilgilendim ki!",excitement
"Burada bir şey var, muazzam bir şey, olağanüstü bir canlılığa sahip bir şey; bir deprem ya da Niagara gibi.",excitement
"Bağırmalar, çığlıklar, kolların ve bacakların sallanması, bir duygunun belirli bir yöne doğru gitmesi, heyecanı şiddetli bir enerji boşaltıcısı haline getirir; sosyal ve patolojik olayların anlaşılmasında büyük önem taşıyan bir olgudur.",excitement
"Kahkahalarla ve neşeyle bağıran Eskimolar, parçalanmış leşin yattığı noktaya doğru ilerledi.",excitement
"İşte senin genç kızın burada duruyor,"" diye tısladı Peri-uzun Diarra, saçında gece yarısı, yanaklarında iki limon çiçeği uçuşuyordu; Ve budalanın mücevherlerini öpücükle birlikte aldı Neşeli bir alaycılıkla.",excitement
Alevlere gülüyorum Onu tutuşturup körüklerken; Solucanın içinde sürünüyorum; Gezegene atlıyorum.,excitement
